[INIT] First code: 73 = I
[READ] Code: 271 | next_code: 378 | code_size: 9
[READ] Code: 273 | next_code: 379 | code_size: 9
[READ] Code: 32 | next_code: 380 | code_size: 9
[READ] Code: 272 | next_code: 381 | code_size: 9
[READ] Code: 115 | next_code: 382 | code_size: 9
[READ] Code: 116 | next_code: 383 | code_size: 9
[READ] Code: 114 | next_code: 384 | code_size: 9
[READ] Code: 117 | next_code: 385 | code_size: 9
[READ] Code: 287 | next_code: 386 | code_size: 9
[READ] Code: 317 | next_code: 387 | code_size: 9
[READ] Code: 281 | next_code: 388 | code_size: 9
[READ] Code: 112 | next_code: 389 | code_size: 9
[READ] Code: 276 | next_code: 390 | code_size: 9
[READ] Code: 102 | next_code: 391 | code_size: 9
[READ] Code: 279 | next_code: 392 | code_size: 9
[READ] Code: 360 | next_code: 393 | code_size: 9
[READ] Code: 326 | next_code: 394 | code_size: 9
[READ] Code: 97 | next_code: 395 | code_size: 9
[READ] Code: 356 | next_code: 396 | code_size: 9
[READ] Code: 319 | next_code: 397 | code_size: 9
[READ] Code: 343 | next_code: 398 | code_size: 9
[READ] Code: 109 | next_code: 399 | code_size: 9
[READ] Code: 32 | next_code: 400 | code_size: 9
[READ] Code: 107 | next_code: 401 | code_size: 9
[READ] Code: 344 | next_code: 402 | code_size: 9
[READ] Code: 364 | next_code: 403 | code_size: 9
[READ] Code: 312 | next_code: 404 | code_size: 9
[READ] Code: 314 | next_code: 405 | code_size: 9
[READ] Code: 101 | next_code: 406 | code_size: 9
[READ] Code: 281 | next_code: 407 | code_size: 9
[READ] Code: 342 | next_code: 408 | code_size: 9
[READ] Code: 279 | next_code: 409 | code_size: 9
[READ] Code: 307 | next_code: 410 | code_size: 9
[READ] Code: 294 | next_code: 411 | code_size: 9
[READ] Code: 411 | next_code: 412 | code_size: 9
[READ] Code: 288 | next_code: 413 | code_size: 9
[READ] Code: 357 | next_code: 414 | code_size: 9
[READ] Code: 97 | next_code: 415 | code_size: 9
[READ] Code: 383 | next_code: 416 | code_size: 9
[READ] Code: 319 | next_code: 417 | code_size: 9
[READ] Code: 321 | next_code: 418 | code_size: 9
[READ] Code: 32 | next_code: 419 | code_size: 9
[READ] Code: 100 | next_code: 420 | code_size: 9
[READ] Code: 111 | next_code: 421 | code_size: 9
[READ] Code: 119 | next_code: 422 | code_size: 9
[READ] Code: 110 | next_code: 423 | code_size: 9
